elapsed_seconds,rss_bytes,temp_file_count,archive_entry_count,latest_final_latency_seconds,latest_silence_to_final_seconds,latest_commit_reason,new_finals,final_count,error_count,worker_state
15.916,1859796992,1,95,1.956,0.321,silero_end,1:silero_end:0.771;2:punctuation:0.196;3:silero_end:0.322;4:silero_end:0.565;5:punctuation:0.276;6:silero_end:0.321,6,0,ready
30.936,1659387904,0,95,3.085,0.162,punctuation,7:punctuation:0.404;8:silero_end:0.456;9:silero_end:0.446;10:silero_end:0.701;11:silero_end:0.291;12:punctuation:0.162,12,0,ready
45.953,1661550592,0,95,1.96,0.308,silero_end,13:silero_end:0.391;14:silero_end:0.316;15:punctuation:0.163;16:silero_end:0.326;17:silero_end:0.299;18:punctuation:0.168;19:silero_end:0.309;20:silero_end:0.308,20,0,ready
60.974,935002112,0,95,2.353,0.173,punctuation,21:punctuation:0.495;22:silero_end:0.364;23:punctuation:0.170;24:silero_end:0.291;25:punctuation:0.173,25,0,ready
75.993,936132608,1,95,1.601,0.306,silero_end,26:silero_end:0.318;27:silero_end:0.300;28:punctuation:0.161;29:silero_end:0.318;30:silero_end:0.294;31:punctuation:0.162;32:silero_end:0.306,32,0,ready
91.009,936837120,0,95,2.335,0.155,punctuation,33:silero_end:0.335;34:punctuation:0.180;35:silero_end:0.321;36:silero_end:0.302;37:punctuation:0.175;38:silero_end:0.319;39:silero_end:0.312;40:punctuation:0.155,40,0,ready
106.031,254869504,0,95,1.603,0.327,silero_end,41:silero_end:0.322;42:silero_end:0.320;43:punctuation:0.173;44:silero_end:0.436;45:silero_end:0.308;46:punctuation:0.177;47:silero_end:0.327,47,0,ready
121.061,206831616,1,95,2.012,0.343,silero_end,48:silero_end:0.333;49:punctuation:0.179;50:silero_end:0.335;51:silero_end:0.353;52:punctuation:0.194;53:silero_end:0.488;54:silero_end:0.343,54,0,ready
136.083,197656576,0,95,1.759,0.348,silero_end,55:punctuation:0.245;56:silero_end:0.324;57:silero_end:0.343;58:punctuation:0.175;59:silero_end:0.328;60:silero_end:0.348;61:punctuation:0.147;62:silero_end:0.348,62,0,ready
151.106,195837952,0,95,1.969,0.311,silero_end,63:silero_end:0.320;64:punctuation:0.165;65:silero_end:0.357;66:silero_end:0.306;67:punctuation:0.185;68:silero_end:0.319;69:silero_end:0.311,69,0,ready
166.128,198836224,1,95,1.601,0.319,silero_end,70:punctuation:0.182;71:silero_end:0.340;72:silero_end:0.332;73:punctuation:0.180;74:silero_end:0.328;75:silero_end:0.303;76:punctuation:0.198;77:silero_end:0.319,77,0,ready
181.144,197001216,0,95,1.948,0.312,silero_end,78:silero_end:0.302;79:punctuation:0.183;80:silero_end:0.328;81:silero_end:0.317;82:punctuation:0.191;83:silero_end:0.338;84:silero_end:0.312,84,0,ready
196.167,198623232,0,95,1.669,0.344,silero_end,85:punctuation:0.183;86:silero_end:0.327;87:silero_end:0.345;88:punctuation:0.182;89:silero_end:0.328;90:silero_end:0.310;91:punctuation:0.186;92:silero_end:0.344,92,0,ready
211.187,189530112,0,95,2.025,0.316,silero_end,93:silero_end:0.307;94:punctuation:0.163;95:silero_end:0.348;96:silero_end:0.321;97:punctuation:0.158;98:silero_end:0.353;99:silero_end:0.316,99,0,ready
226.203,489570304,0,95,3.865,0.329,silero_end,100:punctuation:0.176;101:silero_end:0.336;102:silero_end:0.286;103:punctuation:0.169;104:silero_end:0.325;105:silero_end:0.295;106:silero_end:0.329,106,0,ready
241.219,209698816,0,95,1.966,0.303,silero_end,107:punctuation:0.146;109:punctuation:0.200;111:silero_end:0.330;112:punctuation:0.158;113:silero_end:0.326;114:silero_end:0.303,112,0,ready
256.236,209534976,1,95,2.376,0.177,punctuation,115:punctuation:0.211;116:silero_end:0.392;117:silero_end:0.311;118:punctuation:0.221;119:silero_end:0.378;120:silero_end:0.308;121:punctuation:0.177,119,0,ready
271.252,189366272,0,95,1.977,0.318,silero_end,122:silero_end:0.331;123:silero_end:0.315;124:punctuation:0.161;125:silero_end:0.398;126:silero_end:0.369;127:punctuation:0.169;128:silero_end:0.328;129:silero_end:0.318,127,0,ready
286.27,192430080,0,95,2.366,0.183,punctuation,130:punctuation:0.163;131:silero_end:0.315;132:silero_end:0.379;133:punctuation:0.164;134:silero_end:0.305;135:silero_end:0.303;136:punctuation:0.183,134,0,ready
301.291,199016448,0,95,1.56,0.146,punctuation,137:silero_end:0.337;138:silero_end:0.328;139:punctuation:0.161;140:silero_end:0.328;141:silero_end:0.302;142:silero_end:0.352;143:punctuation:0.146,141,0,ready
316.311,199491584,0,95,1.56,0.146,punctuation,,141,0,ready
