elapsed_seconds,rss_bytes,temp_file_count,archive_entry_count,latest_final_latency_seconds,latest_silence_to_final_seconds,latest_commit_reason,new_finals,final_count,error_count,worker_state
15.924,2089402368,1,64,5.375,3.447,silero_end,1:punctuation:2.055;2:silero_end:3.447,2,0,ready
30.943,2091614208,1,64,9.609,4.148,silero_end,3:silero_end:4.971;4:silero_end:4.463;5:silero_end:4.148,5,0,ready
45.959,2092253184,1,64,8.802,3.428,punctuation,6:silero_end:3.838;7:punctuation:3.486;8:punctuation:3.428,8,0,ready
60.98,2094989312,1,64,11.457,6.005,silero_end,10:punctuation:3.129;11:silero_end:4.110;12:silero_end:6.005,11,0,ready
75.995,2095677440,1,64,10.735,5.28,silero_end,13:silero_end:5.507;14:silero_end:5.280,13,0,ready
91.018,2096922624,1,64,9.906,4.476,silero_end,15:silero_end:5.040;16:silero_end:4.790;17:silero_end:4.476,16,0,ready
106.046,2097790976,0,64,9.701,4.248,silero_end,18:silero_end:4.248,17,0,ready
