elapsed_seconds,rss_bytes,temp_file_count,archive_entry_count,latest_final_latency_seconds,latest_silence_to_final_seconds,latest_commit_reason,new_finals,final_count,error_count,worker_state
15.959,2996060160,1,84,10.756,5.138,silero_end,1:silero_end:5.138,1,0,ready
30.968,3000090624,0,84,10.346,4.81,silero_end,2:silero_end:5.659;3:silero_end:5.265;4:silero_end:4.810,4,0,ready
45.98,2931392512,1,84,10.591,5.039,silero_end,5:silero_end:5.059;6:silero_end:5.039,6,0,ready
60.989,2929246208,0,84,10.674,5.065,silero_end,7:silero_end:5.235;8:silero_end:4.736;9:silero_end:5.065,9,0,ready
76.0,2724429824,1,84,10.556,4.981,silero_end,10:silero_end:5.206;11:silero_end:4.981,11,0,ready
91.013,2335408128,1,84,10.506,4.923,silero_end,12:silero_end:4.856;13:silero_end:4.923,13,0,ready
106.023,2338652160,0,84,7.8,3.994,silero_end,14:silero_end:4.991;15:silero_end:3.994,15,0,ready
