elapsed_seconds,rss_bytes,temp_file_count,archive_entry_count,latest_final_latency_seconds,latest_silence_to_final_seconds,latest_commit_reason,new_finals,final_count,error_count,worker_state
15.72,4659118080,1,65,4.006,3.182,silero_end,1:punctuation:2.081;2:silero_end:3.089;3:punctuation:2.785;4:silero_end:3.182,4,0,ready
30.747,4662378496,1,65,3.998,3.363,silero_end,5:punctuation:2.759;6:silero_end:3.263;7:punctuation:2.773;8:silero_end:3.363,8,0,ready
45.764,4668096512,1,65,3.9,3.201,silero_end,9:punctuation:2.759;10:silero_end:3.280;11:punctuation:2.727;12:silero_end:3.166;13:punctuation:2.830;14:silero_end:3.201,14,0,ready
60.79,4669079552,1,65,4.081,3.467,silero_end,15:punctuation:2.801;16:silero_end:3.262;17:punctuation:2.972;18:silero_end:3.467,18,0,ready
75.829,4678270976,1,65,13.359,7.805,silero_end,19:silero_end:8.294;20:silero_end:7.805,20,0,ready
90.853,4678713344,1,65,11.326,5.82,silero_end,21:silero_end:6.892;22:silero_end:5.820,22,0,ready
105.881,4680384512,0,65,13.89,8.494,silero_end,23:silero_end:9.837;24:silero_end:8.494,24,0,ready
