elapsed_seconds,rss_bytes,temp_file_count,archive_entry_count,latest_final_latency_seconds,latest_silence_to_final_seconds,latest_commit_reason,new_finals,final_count,error_count,worker_state
16.125,2004598784,1,78,10.579,4.981,silero_end,1:silero_end:4.981,1,0,ready
31.141,2012037120,0,78,10.251,4.76,silero_end,2:silero_end:4.700;3:silero_end:4.678;4:silero_end:4.760,4,0,ready
46.155,1969389568,1,78,10.013,4.446,silero_end,5:silero_end:4.675;6:silero_end:4.446,6,0,ready
61.172,1961312256,0,78,10.092,4.553,silero_end,7:silero_end:4.475;8:silero_end:4.518;9:silero_end:4.553,9,0,ready
76.184,1636597760,1,78,10.072,4.469,silero_end,10:silero_end:4.408;11:silero_end:4.469,11,0,ready
91.2,1392345088,0,78,10.078,4.517,silero_end,12:silero_end:4.389;13:silero_end:4.573;14:silero_end:4.517,14,0,ready
106.217,1394343936,1,78,10.241,4.663,silero_end,15:silero_end:4.423;16:silero_end:4.663,16,0,ready
121.226,1392918528,1,78,10.445,4.925,silero_end,17:silero_end:4.855;18:silero_end:4.925,18,0,ready
136.239,1309081600,1,78,10.524,4.971,silero_end,19:silero_end:4.950;20:silero_end:5.096;21:silero_end:4.971,21,0,ready
151.248,1309245440,1,78,10.475,4.895,silero_end,22:silero_end:4.905;23:silero_end:4.895,23,0,ready
166.259,1309900800,0,78,10.421,4.835,silero_end,24:silero_end:4.981;25:silero_end:4.961;26:silero_end:4.835,26,0,ready
181.271,1311031296,1,78,10.502,4.912,silero_end,27:silero_end:4.885;28:silero_end:4.912,28,0,ready
196.282,1310949376,0,78,10.223,4.632,silero_end,29:silero_end:4.592;30:silero_end:4.587;31:silero_end:4.632,31,0,ready
211.291,1310851072,1,78,10.152,4.576,silero_end,32:silero_end:4.467;33:silero_end:4.576,33,0,ready
226.303,1312653312,0,78,10.136,4.556,silero_end,34:silero_end:4.637;35:silero_end:4.474;36:silero_end:4.556,36,0,ready
241.311,1312964608,1,78,10.149,4.576,silero_end,37:silero_end:4.571;38:silero_end:4.576,38,0,ready
256.322,1312260096,1,78,10.049,4.472,silero_end,39:silero_end:4.488;40:silero_end:4.472,40,0,ready
271.33,1313292288,1,78,10.315,4.811,silero_end,41:silero_end:4.955;42:silero_end:4.874;43:silero_end:4.811,43,0,ready
286.338,1313488896,1,78,10.456,4.845,silero_end,44:silero_end:4.979;45:silero_end:4.845,45,0,ready
301.35,1314684928,0,78,10.316,4.74,silero_end,46:silero_end:4.813;47:silero_end:4.808;48:silero_end:4.740,48,0,ready
316.357,784662528,0,78,10.054,4.739,silero_end,49:silero_end:4.739,49,0,ready
