elapsed_seconds,rss_bytes,temp_file_count,archive_entry_count,latest_final_latency_seconds,latest_silence_to_final_seconds,latest_commit_reason,new_finals,final_count,error_count,worker_state
15.881,3654221824,1,76,10.33,4.701,silero_end,1:silero_end:4.701,1,0,ready
30.899,3658366976,0,76,10.287,4.77,silero_end,2:silero_end:4.415;3:silero_end:4.830;4:silero_end:4.770,4,0,ready
45.913,3659038720,1,76,10.35,4.793,silero_end,5:silero_end:4.857;6:silero_end:4.793,6,0,ready
60.93,3659120640,0,76,9.958,4.364,silero_end,7:silero_end:4.756;8:silero_end:4.514;9:silero_end:4.364,9,0,ready
75.947,3658760192,1,76,10.175,4.578,silero_end,10:silero_end:4.329;11:silero_end:4.578,11,0,ready
90.968,3659366400,0,76,9.938,4.418,silero_end,12:silero_end:4.394;13:silero_end:4.484;14:silero_end:4.418,14,0,ready
105.983,3661365248,0,76,7.191,3.395,silero_end,15:silero_end:3.395,15,0,ready
