elapsed_seconds,rss_bytes,temp_file_count,archive_entry_count,latest_final_latency_seconds,latest_silence_to_final_seconds,latest_commit_reason,new_finals,final_count,error_count,worker_state
15.899,4526833664,1,61,6.381,5.22,silero_end,1:punctuation:4.390;2:silero_end:5.220,2,0,ready
30.915,4529455104,1,61,12.354,6.768,silero_end,3:silero_end:7.039;4:silero_end:6.768,4,0,ready
45.933,4530683904,1,61,12.918,7.324,silero_end,5:silero_end:6.548;6:silero_end:7.408;7:silero_end:7.324,7,0,ready
60.952,4531290112,1,61,12.798,7.187,silero_end,8:silero_end:7.224;9:silero_end:7.187,9,0,ready
75.971,4532912128,1,61,12.66,7.082,silero_end,10:silero_end:7.163;11:silero_end:7.113;12:silero_end:7.082,12,0,ready
90.997,4533010432,1,61,12.516,6.958,silero_end,13:silero_end:7.072;14:silero_end:6.958,14,0,ready
106.019,4532977664,0,61,11.916,8.037,silero_end,15:silero_end:6.905;16:silero_end:8.037,16,0,ready
