elapsed_seconds,rss_bytes,temp_file_count,archive_entry_count,latest_final_latency_seconds,latest_silence_to_final_seconds,latest_commit_reason,new_finals,final_count,error_count,worker_state
15.927,1583071232,1,74,6.149,5.273,silero_end,1:punctuation:4.389;2:silero_end:5.273,2,0,ready
30.948,1586905088,1,74,10.974,5.408,silero_end,3:silero_end:7.728;4:silero_end:6.534;5:silero_end:5.408,5,0,ready
45.962,1587380224,1,74,12.317,6.765,silero_end,6:silero_end:7.910;7:silero_end:6.765,7,0,ready
60.975,1587658752,1,74,13.818,8.251,silero_end,8:silero_end:5.826;9:silero_end:8.251,9,0,ready
75.988,1587773440,1,74,11.418,5.85,silero_end,10:silero_end:7.077;11:silero_end:5.850,11,0,ready
91.011,1588248576,1,74,11.764,6.19,silero_end,12:silero_end:8.292;13:silero_end:7.269;14:silero_end:6.190,14,0,ready
106.031,1588248576,0,74,12.803,8.63,silero_end,15:silero_end:8.965;16:silero_end:8.630,16,0,ready
